kind,name,gate,n_valid,safe_max,safe_p99,breaking_median,floor,auc,recall_at_fpr0,recall_at_fpr1pct,recall_at_fpr5pct,breaking_slip_rate,safe_accept_rate,recall,recall_ci_lo,recall_ci_hi,fpr,thresholds,recall_M1,recall_M2,recall_M3,recall_M4,recall_M5,recall_M6,recall_M7,recall_M8,recall_src_webcode2m,n,detected,rate,ci_lo,ci_hi,ssim_slip_0.99
metric,height_delta,G2,1586.0,0.0,0.0,0.0,1.0,0.6206,0.2413,0.2413,0.2413,,,,,,,,,,,,,,,,,,,,,,
metric,text_dissim,G3,1586.0,0.0,0.0,0.0,0.0005,0.6165,0.233,0.233,0.233,,,,,,,,,,,,,,,,,,,,,,
metric,iou_deficit,G4,1586.0,0.025499999999999967,0.0011759999999998959,0.009050000000000002,0.005,0.8619,0.3939,0.539,0.7322,,,,,,,,,,,,,,,,,,,,,,
metric,center_shift,G4,1586.0,598.88,13.526099999998682,8.0,1.0,0.8585,0.0423,0.1783,0.733,,,,,,,,,,,,,,,,,,,,,,
metric,deltae_p95,G5,1586.0,0.0,0.0,0.0,0.5,0.6874,0.3748,0.3748,0.3748,,,,,,,,,,,,,,,,,,,,,,
metric,deltae_max,G5,1586.0,10.824,0.002309999999999775,0.532,1.0,0.8884,0.0406,0.7653,0.7877,,,,,,,,,,,,,,,,,,,,,,
metric,lpips_max_tile,G6,0.0,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,
metric,n_unmatched>0,G4,1586.0,0.0,,,,,0.1609,,,,,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.9,SSIM,,,,,,,,,,0.8615,0.9868,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.95,SSIM,,,,,,,,,,0.806,0.9868,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.99,SSIM,,,,,,,,,,0.6907,0.9868,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.995,SSIM,,,,,,,,,,0.6028,0.9868,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.999,SSIM,,,,,,,,,,0.3192,0.9868,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_dissim(best),SSIM,,,,,,0.9916,0.9833,,0.9833,,,,,,,,,,,,,,,,,,,,,,
composite,provisional,,,,,,,,,,,,,0.825,0.8026,0.8454,0.0,"{""height_delta"": 2.0, ""text_dissim"": 0.005, ""iou_deficit"": 0.05, ""center_shift"": 5.0, ""deltae_p95"": 2.0, ""deltae_max"": 5.0, ""lpips_max_tile"": 0.03}",1.0,0.562,0.951,0.527,0.885,0.958,1.0,1.0,0.825,,,,,,
composite,safe_max,,,,,,,,,,,,,0.9917,0.9848,0.9955,0.0,"{""height_delta"": 1.0, ""text_dissim"": 0.0005, ""iou_deficit"": 0.005, ""center_shift"": 1.0, ""deltae_p95"": 0.5, ""deltae_max"": 1.0, ""lpips_max_tile"": 0.005}",1.0,1.0,0.997,0.974,0.99,1.0,1.0,1.0,0.992,,,,,,
composite,strict,,,,,,,,,,,,,0.9917,0.9848,0.9955,0.0,"{""height_delta"": 1.0, ""text_dissim"": 0.0005, ""iou_deficit"": 0.005, ""center_shift"": 1.0, ""deltae_p95"": 0.5, ""deltae_max"": 1.0, ""lpips_max_tile"": 0.005}",1.0,1.0,0.997,0.974,0.99,1.0,1.0,1.0,0.992,,,,,,
detection,M1:default,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,96.0,1.0,0.9615,1.0,0.5208
detection,M2:default,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,96.0,1.0,0.9615,1.0,0.875
detection,M3:px16,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,96.0,1.0,0.9615,1.0,0.8438
detection,M3:px32,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,95.0,1.0,0.9611,1.0,0.7684
detection,M3:px8,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,94.0,0.9895,0.9428,0.9981,0.8632
detection,M4:de10,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,88.0,0.967,0.9075,0.9887,0.956
detection,M4:de2,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,89.0,0.978,0.9234,0.994,0.956
detection,M4:de5,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,89.0,0.978,0.9234,0.994,0.967
detection,M5:minus2,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,95.0,0.9896,0.9433,0.9982,0.6771
detection,M5:plus2,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,95.0,0.9896,0.9433,0.9982,0.3542
detection,M6:default,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,95.0,1.0,0.9611,1.0,0.2737
detection,M7:default,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,96.0,1.0,0.9615,1.0,0.5104
detection,M8:default,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,72.0,1.0,0.9493,1.0,0.375
