page_id,source,png_path,html_path,level,tokens_orig,tokens_final,reduction_pct,original_sha256,final_sha256,validated_source_path
we00000,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00000.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00000.html,l3,2371.0,1543.0,34.922,53c29aa65030d045776d33fc9912a071b4dc065587c8ab615ff010b7f6c90040,c55450ac5cb04b8e188958cdf6cc78c6e84c787f7f0e3ddde028a2edc6355e12,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00000.html
we00001,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00001.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00001.html,l3,5544.0,3374.0,39.141,c3d9c9fb12cfa319d9c4613dd15e914abaa2dee3f466dfa2220a92b3fe5c6d2d,50a4d5e983422bcc12cd1a7bdf276b998756ad7f1d524e3360d69232f3e274d4,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00001.html
we00002,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00002.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00002.html,l3,2609.0,2047.0,21.541,3075b93901feff3f94580f0c459b81e4cdac5ca20ede6b8100941b7076af4c31,dac2cc688f44621d1a50740c554aae0ed97a20083f1dbe7c3e0e6be083428523,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00002.html
we00003,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00003.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00003.html,l2,2641.0,1932.0,26.846,f236204d41e0ba036b54723bff3faf1eb3070c87e5092a4664fb51fa06a4cb43,ee200246f40bd9e3a7cb54dc5288f11ba9d644169187d4959070f61e8bb2f56e,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00003.html
we00004,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00004.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00004.html,l3,3802.0,1776.0,53.288,2e3d7f66a452dd036ed42e068d249ba49d2e61fd491524a241a22608b93cd972,0100df9d2f310a318905bb28e214cb037e0762e36124a26c3d69b394c6a9578d,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00004.html
we00005,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00005.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00005.html,l3,3501.0,2526.0,27.849,558e3125e646f044dd50f711ee9358f3f9c55e96a16a6e5fc756d3c1c246343c,c3937c01c5b26c013d8974e32db622a29407df5261bc47a4b3d6c843291087b0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00005.html
we00006,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00006.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00006.html,l3,6634.0,3559.0,46.352,4d243d3ccf70622abd2c6735a45a4200a93aa133e0f150f1807572f023307c72,b1e6c40683916cfcbb309ad3484e325311be35b0beabdccaa27168d3020e1b93,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00006.html
we00007,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00007.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00007.html,l3,5269.0,3910.0,25.792,17d092cb2254fcf57485e5968a82b34d2f726932fd028e46b96734210339ae66,f21ce720dbfb11a6ebe8280facbfbdb1db5416c69c4143be6961690bcb5d7300,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00007.html
we00008,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00008.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00008.html,l3,2999.0,2706.0,9.77,36f5d4792af426a24aa264a45a85e232a48205f04ad33e598dcf8c26c568c2f2,6a17027ed0fe1638e592c22c1f30d62374867a975597d384b97576da13f9d2b7,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00008.html
we00009,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00009.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00009.html,l3,5385.0,2733.0,49.248,4bd42f1e7af7a987f8321b7d6684c2308e09a68e7155ad770ed0fd34b19b3560,2f32b6c5c1cfa975039edc367c143e72ca4486640cc775aa107b1a9bcd99d1ac,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00009.html
