page_id,source,dataset_png_path,html_path,level,tokens_orig,tokens_final,reduction_pct
we00000,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00000.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00000.html,l3,2371.0,1543.0,34.922
we00001,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00001.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00001.html,l3,5544.0,3374.0,39.141
we00002,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00002.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00002.html,l3,2609.0,2047.0,21.541
we00003,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00003.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00003.html,l2,2641.0,1932.0,26.846
we00004,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00004.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00004.html,l3,3802.0,1776.0,53.288
we00005,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00005.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00005.html,l3,3501.0,2526.0,27.849
we00006,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00006.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00006.html,l3,6634.0,3559.0,46.352
we00007,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00007.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00007.html,l3,5269.0,3910.0,25.792
we00008,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00008.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00008.html,l3,2999.0,2706.0,9.77
we00009,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00009.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level3\webcode2m\we00009.html,l3,5385.0,2733.0,49.248
