page_id,bucket,chars,tokens,n_edits
we00000,selector_trim,59,16,3
we00000,unmatched,643,286,2
we00001,selector_trim,1133,356,12
we00001,unmatched,988,344,14
we00001,dead_props,207,53,8
we00002,selector_trim,292,79,7
we00002,unmatched,159,42,1
we00004,selector_trim,118,31,5
we00005,selector_trim,330,101,11
we00005,unmatched,119,37,3
we00005,dead_props,15,2,1
we00006,selector_trim,5680,1318,20
we00006,unmatched,1166,371,10
we00006,dead_props,56,16,2
we00007,selector_trim,222,74,10
we00007,unmatched,398,113,5
we00007,dead_props,59,11,4
we00008,selector_trim,68,18,3
we00008,dead_props,15,3,1
we00008,unmatched,37,9,1
we00009,selector_trim,427,155,11
we00009,unmatched,1215,394,18
we00009,dead_props,394,119,7
we00010,selector_trim,540,182,10
we00010,unmatched,1055,279,10
we00010,dead_props,280,86,6
we00011,selector_trim,2102,630,16
we00011,dead_props,55,13,2
we00011,unmatched,1188,385,12
we00012,dead_props,15,3,1
we00012,unmatched,338,108,6
we00013,selector_trim,124,83,11
we00014,selector_trim,1837,558,28
we00014,unmatched,1395,462,17
we00014,dead_props,214,50,8
we00015,selector_trim,1480,431,18
we00015,unmatched,1669,560,26
we00015,dead_props,264,76,8
we00016,selector_trim,809,262,11
we00016,dead_props,117,32,5
we00016,unmatched,760,239,8
we00018,unmatched,24,7,1
we00019,selector_trim,5680,1318,20
we00019,unmatched,1166,371,10
we00019,dead_props,56,16,2
we00020,selector_trim,1808,587,18
we00020,unmatched,1246,334,14
we00020,dead_props,305,89,7
we00021,selector_trim,296,78,17
we00021,unmatched,1097,359,16
we00021,dead_props,148,36,7
we00022,selector_trim,877,229,14
we00022,dead_props,25,8,1
we00023,unmatched,353,97,4
we00023,selector_trim,15,10,1
we00024,selector_trim,49,12,2
we00025,dead_props,107,37,4
we00025,selector_trim,295,87,5
we00025,unmatched,280,83,2
we00026,selector_trim,370,79,5
we00026,unmatched,118,34,3
we00027,selector_trim,525,123,3
we00028,selector_trim,40,12,1
we00028,dead_props,36,8,1
we00029,selector_trim,333,76,4
we00030,dead_props,30,5,2
we00030,unmatched,86,24,2
we00031,selector_trim,545,184,13
we00031,unmatched,1525,457,18
we00031,dead_props,620,181,14
we00032,selector_trim,63,19,5
we00033,selector_trim,252,93,12
we00036,unmatched,427,147,3
we00036,dead_props,31,10,1
we00037,selector_trim,166,51,10
we00037,dead_props,108,30,3
we00037,unmatched,261,82,5
we00038,selector_trim,63,19,5
we00039,dead_props,15,3,1
we00040,unmatched,32,10,1
we00040,selector_trim,9,2,1
we00041,selector_trim,61,14,1
we00042,unmatched,79,22,1
we00042,selector_trim,16,7,1
we00043,unmatched,386,154,3
we00044,selector_trim,402,146,19
we00044,dead_props,42,12,2
we00044,unmatched,1281,465,20
we00045,selector_trim,252,68,11
we00045,dead_props,15,2,1
we00045,unmatched,160,52,2
we00046,selector_trim,38,13,4
we00046,unmatched,188,69,3
we00047,dead_props,107,37,4
we00047,selector_trim,295,87,5
we00047,unmatched,280,83,2
we00048,unmatched,121,42,2
we00048,selector_trim,72,16,1
we00049,selector_trim,166,35,1
we00049,unmatched,331,82,2
we00049,dead_props,15,3,1
we00050,selector_trim,22,10,2
we00050,dead_props,214,57,8
we00051,unmatched,115,36,2
we00051,selector_trim,173,46,3
we00052,selector_trim,5,3,1
we00053,dead_props,62,20,3
we00054,selector_trim,367,135,9
we00054,unmatched,1609,497,21
we00054,dead_props,250,77,5
we00055,dead_props,14,3,1
we00055,unmatched,213,86,3
we00055,selector_trim,21,6,2
we00056,unmatched,313,111,3
we00057,selector_trim,471,112,5
we00057,unmatched,1613,493,12
we00058,dead_props,15,3,1
we00059,selector_trim,70,16,2
we00060,unmatched,1096,372,10
we00062,selector_trim,63,19,5
we00063,selector_trim,421,152,10
we00063,unmatched,2177,681,19
we00063,dead_props,85,23,3
we00064,selector_trim,61,18,5
we00065,selector_trim,218,85,11
we00065,unmatched,1169,357,14
we00066,selector_trim,245,100,3
we00066,unmatched,66,31,2
we00067,selector_trim,421,140,11
we00067,unmatched,167,58,3
we00068,selector_trim,429,150,11
