page_id,identical,shape_a,shape_b,diff_pixels,status
we00000,True,"(1244, 1280, 3)","(1244, 1280, 3)",0,ok
we00001,True,"(2107, 1280, 3)","(2107, 1280, 3)",0,ok
we00002,True,"(1249, 1280, 3)","(1249, 1280, 3)",0,ok
we00003,True,"(2518, 1280, 3)","(2518, 1280, 3)",0,ok
we00004,True,"(1420, 1280, 3)","(1420, 1280, 3)",0,ok
we00005,True,"(1656, 1280, 3)","(1656, 1280, 3)",0,ok
we00006,True,"(2528, 1280, 3)","(2528, 1280, 3)",0,ok
we00007,True,"(1839, 1280, 3)","(1839, 1280, 3)",0,ok
we00008,True,"(1461, 1280, 3)","(1461, 1280, 3)",0,ok
we00009,True,"(802, 1280, 3)","(802, 1280, 3)",0,ok
we00010,True,"(2963, 1280, 3)","(2963, 1280, 3)",0,ok
we00011,True,"(1748, 1280, 3)","(1748, 1280, 3)",0,ok
we00012,True,"(2185, 1280, 3)","(2185, 1280, 3)",0,ok
we00013,True,"(1217, 1280, 3)","(1217, 1280, 3)",0,ok
we00014,True,"(1735, 1280, 3)","(1735, 1280, 3)",0,ok
we00015,True,"(1823, 1280, 3)","(1823, 1280, 3)",0,ok
we00016,True,"(1600, 1280, 3)","(1600, 1280, 3)",0,ok
we00017,True,"(867, 1280, 3)","(867, 1280, 3)",0,ok
we00018,True,"(2209, 1280, 3)","(2209, 1280, 3)",0,ok
we00019,True,"(2528, 1280, 3)","(2528, 1280, 3)",0,ok
we00020,True,"(1262, 1280, 3)","(1262, 1280, 3)",0,ok
we00021,True,"(985, 1280, 3)","(985, 1280, 3)",0,ok
we00022,True,"(1902, 1280, 3)","(1902, 1280, 3)",0,ok
we00023,True,"(1422, 1280, 3)","(1422, 1280, 3)",0,ok
we00024,True,"(1546, 1280, 3)","(1546, 1280, 3)",0,ok
we00025,True,"(1549, 1280, 3)","(1549, 1280, 3)",0,ok
we00026,True,"(2156, 1280, 3)","(2156, 1280, 3)",0,ok
we00027,True,"(1854, 1284, 3)","(1854, 1284, 3)",0,ok
we00028,True,"(918, 1280, 3)","(918, 1280, 3)",0,ok
we00029,True,"(2223, 1280, 3)","(2223, 1280, 3)",0,ok
we00030,True,"(1773, 1280, 3)","(1773, 1280, 3)",0,ok
we00031,True,"(2970, 1280, 3)","(2970, 1280, 3)",0,ok
we00032,True,"(800, 1280, 3)","(800, 1280, 3)",0,ok
we00033,True,"(2085, 1280, 3)","(2085, 1280, 3)",0,ok
we00034,True,"(1998, 1280, 3)","(1998, 1280, 3)",0,ok
we00035,True,"(800, 1280, 3)","(800, 1280, 3)",0,ok
we00036,True,"(1908, 1280, 3)","(1908, 1280, 3)",0,ok
we00037,True,"(2336, 1280, 3)","(2336, 1280, 3)",0,ok
we00038,True,"(800, 1280, 3)","(800, 1280, 3)",0,ok
we00039,True,"(2188, 1280, 3)","(2188, 1280, 3)",0,ok
we00040,True,"(2639, 1280, 3)","(2639, 1280, 3)",0,ok
we00041,True,"(1953, 1280, 3)","(1953, 1280, 3)",0,ok
we00042,True,"(1991, 1280, 3)","(1991, 1280, 3)",0,ok
we00043,True,"(1040, 1280, 3)","(1040, 1280, 3)",0,ok
we00044,True,"(844, 1280, 3)","(844, 1280, 3)",0,ok
we00045,True,"(808, 1280, 3)","(808, 1280, 3)",0,ok
we00046,True,"(1084, 1280, 3)","(1084, 1280, 3)",0,ok
we00047,True,"(1577, 1280, 3)","(1577, 1280, 3)",0,ok
we00048,True,"(1616, 1280, 3)","(1616, 1280, 3)",0,ok
we00049,True,"(1768, 1280, 3)","(1768, 1280, 3)",0,ok
we00050,True,"(2485, 1280, 3)","(2485, 1280, 3)",0,ok
we00051,True,"(1998, 1280, 3)","(1998, 1280, 3)",0,ok
we00052,True,"(917, 1280, 3)","(917, 1280, 3)",0,ok
