page_id,source,base,stamp_roundtrip_identical,n_invisible,n_wrappers,n_candidate_edits,tokens_base,tokens_original,prescreen_ran,n_prescreen_dropped,status,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted
we00000,webcode2m,level1,,4.0,13.0,17.0,1966.0,2371.0,True,1.0,ok,1.0,16.0,4.0,12.0,0.0,29.0,79.0,qwen2.5-vl,True,1966.0,1845.0,6.155,True,1244.0,1244.0,0.0,True,1.0,True,77.0,77.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00001,webcode2m,level1,,8.0,11.0,19.0,4468.0,5544.0,True,4.0,ok,1.0,15.0,6.0,9.0,0.0,262.0,88.0,qwen2.5-vl,True,4468.0,4127.0,7.632,True,2107.0,2107.0,0.0,True,1.0,True,39.0,39.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00002,webcode2m,level1,,15.0,11.0,26.0,2389.0,2609.0,True,4.0,ok,1.0,22.0,15.0,7.0,0.0,157.0,28.0,qwen2.5-vl,True,2389.0,2168.0,9.251,True,1249.0,1249.0,0.0,True,1.0,True,79.0,79.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00003,webcode2m,level1,,13.0,21.0,34.0,2242.0,2641.0,True,1.0,ok,1.0,33.0,12.0,21.0,0.0,122.0,174.0,qwen2.5-vl,True,2242.0,1932.0,13.827,True,2518.0,2518.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00004,webcode2m,level1,,14.0,69.0,83.0,3630.0,3802.0,True,3.0,ok,22.0,79.0,14.0,65.0,0.0,882.0,941.0,qwen2.5-vl,True,3630.0,1807.0,50.22,True,1420.0,1420.0,0.0,True,1.0,True,50.0,50.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00005,webcode2m,level1,,5.0,11.0,16.0,2852.0,3501.0,True,5.0,ok,1.0,11.0,5.0,6.0,0.0,117.0,-2.0,qwen2.5-vl,True,2852.0,2666.0,6.522,True,1656.0,1656.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00006,webcode2m,level1,,12.0,22.0,34.0,5553.0,6634.0,True,4.0,ok,1.0,30.0,8.0,22.0,0.0,111.0,127.0,qwen2.5-vl,True,5553.0,5264.0,5.204,True,2528.0,2528.0,0.0,True,0.99656,True,59.0,57.0,1.0,0.0,2.0,True,0.0,0.0,True,1.0,True,True,True
we00007,webcode2m,level1,,21.0,3.0,24.0,4268.0,5269.0,True,8.0,ok,1.0,16.0,14.0,2.0,0.0,149.0,-67.0,qwen2.5-vl,True,4268.0,4108.0,3.749,True,1839.0,1839.0,0.0,True,1.0,True,101.0,101.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00008,webcode2m,level1,,11.0,15.0,26.0,2810.0,2999.0,True,4.0,ok,28.0,10.0,5.0,5.0,12.0,26.0,5.0,qwen2.5-vl,True,2810.0,2736.0,2.633,True,1461.0,1461.0,0.0,True,1.0,True,134.0,134.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00009,webcode2m,level1,,11.0,5.0,16.0,4378.0,5385.0,True,4.0,ok,1.0,12.0,9.0,3.0,0.0,946.0,-4.0,qwen2.5-vl,True,4378.0,3401.0,22.316,True,802.0,802.0,0.0,True,1.0,True,55.0,55.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
