page_id,chars,px_lxml,note_lxml,bytes_lxml,px_html_parser,note_html_parser,bytes_html_parser,px_html5lib,note_html5lib,bytes_html5lib
we00008,9155,-1,1280x1461 vs 1280x1458,9154,0,,9155,0,,9205
we00013,7759,20228,,7758,0,,7759,0,,7996
we00015,24974,-1,1280x1823 vs 1280x1809,24973,0,,24974,0,,24980
we00017,3981,-1,1280x867 vs 1280x859,3980,0,,3981,0,,4066
we00018,12596,-1,1280x2209 vs 1280x2199,12595,0,,12596,0,,12602
we00021,16958,-1,1280x985 vs 1280x965,16953,-1,1280x985 vs 1280x965,16954,0,,16958
we00025,19938,-1,1280x1549 vs 1280x2827,19937,0,,19938,0,,19937
we00026,10558,-1,1280x2156 vs 1280x2124,10557,0,,10558,0,,10585
we00030,12238,-1,1280x1773 vs 1280x1767,12237,0,,12238,0,,12242
we00035,6256,42759,,6255,4,,6256,4,,6262
we00040,10736,-1,1280x2639 vs 1280x2636,10731,0,,10736,0,,10743
we00047,19663,-1,1280x1577 vs 1280x2855,19662,0,,19663,0,,19662
we00067,12140,-1,1280x2165 vs 1280x2128,12036,0,,12140,0,,12138
we00069,9286,4438,,9281,4438,,9282,0,,9511
we00078,6366,0,,6365,0,,6366,0,,6365
