page_id,kind,el_id,prescreen_ok,prescreen_first,kept,blacklisted
we00000,remove,6,True,,True,False
we00000,remove,7,True,,True,False
we00000,remove,8,True,,True,False
we00000,remove,127,True,,True,False
we00000,collapse,120,False,"i0: 0,0,1280,1244.40625|accent-color:auto -> 0,0,1280,1214.40625|accent-color:auto",False,False
we00000,collapse,11,True,,True,False
we00000,collapse,28,True,,True,False
we00000,collapse,58,True,,True,False
we00000,collapse,92,True,,True,False
we00000,collapse,124,True,,True,False
we00000,collapse,27,True,,True,False
we00000,collapse,57,True,,True,False
we00000,collapse,91,True,,True,False
we00000,collapse,131,True,,True,False
we00000,collapse,130,True,,True,False
we00000,collapse,25,True,,True,False
we00000,collapse,1,True,,True,False
we00001,remove,24,True,,True,False
we00001,remove,39,True,,True,False
we00001,remove,65,True,,True,False
we00001,remove,69,True,,True,False
we00001,remove,86,True,,True,False
we00001,remove,88,True,,True,False
we00001,remove,107,False,"m106: 1112,2073.375,40,23.796875|accent-color:auto -> 1132,2073.375,20,23.796875|accent-color:auto",False,False
we00001,remove,110,False,"m106: 1112,2073.375,40,23.796875|accent-color:auto -> 1132,2073.375,20,23.796875|accent-color:auto",False,False
we00001,collapse,40,True,,True,False
we00001,collapse,79,True,,True,False
we00001,collapse,77,True,,True,False
we00001,collapse,54,True,,True,False
we00001,collapse,63,True,,True,False
we00001,collapse,76,True,,True,False
we00001,collapse,52,False,"m56: 128,43,1024,38.796875|accent-color:auto -> 128,43,1024,37.796875|accent-color:auto",False,False
we00001,collapse,51,True,,True,False
we00001,collapse,48,True,,True,False
we00001,collapse,2,True,,True,False
we00001,collapse,1,False,"m44: background-color:rgb(36, 32, 56) -> background-color:rgba(0, 0, 0, 0)",False,False
we00002,remove,6,True,,True,False
we00002,remove,7,True,,True,False
we00002,remove,21,True,,True,False
we00002,remove,31,True,,True,False
we00002,remove,34,True,,True,False
we00002,remove,48,True,,True,False
we00002,remove,51,True,,True,False
we00002,remove,53,True,,True,False
we00002,remove,84,True,,True,False
we00002,remove,87,True,,True,False
we00002,remove,89,True,,True,False
we00002,remove,140,True,,True,False
we00002,remove,141,True,,True,False
we00002,remove,143,True,,True,False
we00002,remove,146,True,,True,False
we00002,collapse,41,False,"i0: 0,0,1280,1248.78125|accent-color:auto -> 0,0,1280,1265.78125|accent-color:auto",False,False
we00002,collapse,77,False,"i0: 0,0,1280,1248.78125|accent-color:auto -> 0,0,1280,1265.78125|accent-color:auto",False,False
we00002,collapse,55,True,,True,False
we00002,collapse,91,True,,True,False
we00002,collapse,11,True,,True,False
we00002,collapse,13,True,,True,False
we00002,collapse,116,False,"i0: 0,0,1280,1248.78125|accent-color:auto -> 0,0,1280,1227.78125|accent-color:auto",False,False
we00002,collapse,4,False,"i0: 0,0,1280,1248.78125|accent-color:auto -> 0,0,1280,1125.78125|accent-color:auto",False,False
we00002,collapse,24,True,,True,False
we00002,collapse,3,True,,True,False
we00002,collapse,23,True,,True,False
we00003,remove,1,True,,True,False
we00003,remove,2,True,,True,False
we00003,remove,44,True,,True,False
we00003,remove,46,False,"i0: 0,0,1280,2517.90625|accent-color:auto -> 0,0,1280,2509.90625|accent-color:auto",False,False
we00003,remove,56,True,,True,False
we00003,remove,74,True,,True,False
we00003,remove,87,True,,True,False
we00003,remove,103,True,,True,False
we00003,remove,109,True,,True,False
we00003,remove,138,True,,True,False
we00003,remove,140,True,,True,False
we00003,remove,144,True,,True,False
we00003,remove,148,True,,True,False
we00003,collapse,91,True,,True,False
we00003,collapse,107,True,,True,False
we00003,collapse,36,True,,True,False
we00003,collapse,89,True,,True,False
we00003,collapse,106,True,,True,False
we00003,collapse,33,True,,True,False
we00003,collapse,35,True,,True,False
we00003,collapse,84,True,,True,False
we00003,collapse,88,True,,True,False
we00003,collapse,100,True,,True,False
we00003,collapse,105,True,,True,False
