page_id,bucket,chars
we00000,selector_trim,59
we00000,unmatched,643
we00001,selector_trim,1133
we00001,unmatched,988
we00001,dead_props,207
we00002,selector_trim,292
we00002,unmatched,159
we00004,selector_trim,118
we00005,selector_trim,330
we00005,unmatched,119
we00005,dead_props,15
we00006,selector_trim,5680
we00006,unmatched,1166
we00006,dead_props,56
we00007,selector_trim,222
we00007,unmatched,398
we00007,dead_props,59
we00008,selector_trim,68
we00008,dead_props,15
we00008,unmatched,37
we00009,selector_trim,427
we00009,unmatched,1215
we00009,dead_props,394
we00010,selector_trim,540
we00010,unmatched,1055
we00010,dead_props,280
we00011,selector_trim,2102
we00011,dead_props,55
we00011,unmatched,1188
we00012,dead_props,15
we00012,unmatched,338
we00013,selector_trim,124
we00014,selector_trim,1837
we00014,unmatched,1395
we00014,dead_props,214
we00015,selector_trim,1480
we00015,unmatched,1669
we00015,dead_props,264
we00016,selector_trim,809
we00016,dead_props,117
we00016,unmatched,760
we00018,unmatched,24
we00019,selector_trim,5680
we00019,unmatched,1166
we00019,dead_props,56
we00020,selector_trim,1808
we00020,unmatched,1246
we00020,dead_props,305
we00021,selector_trim,296
we00021,unmatched,1097
we00021,dead_props,148
we00022,selector_trim,877
we00022,dead_props,25
we00023,unmatched,353
we00023,selector_trim,15
we00024,selector_trim,49
we00025,dead_props,107
we00025,selector_trim,295
we00025,unmatched,280
we00026,selector_trim,370
we00026,unmatched,118
we00027,selector_trim,525
we00028,selector_trim,40
we00028,dead_props,36
we00029,selector_trim,333
we00030,dead_props,30
we00030,unmatched,86
we00031,selector_trim,545
we00031,unmatched,1525
we00031,dead_props,620
we00032,selector_trim,63
we00033,selector_trim,252
we00036,unmatched,427
we00036,dead_props,31
we00037,selector_trim,166
we00037,dead_props,108
we00037,unmatched,261
we00038,selector_trim,63
we00039,dead_props,15
we00040,unmatched,32
we00040,selector_trim,9
we00041,selector_trim,61
we00042,unmatched,79
we00042,selector_trim,16
we00043,unmatched,386
we00044,selector_trim,402
we00044,dead_props,42
we00044,unmatched,1281
we00045,selector_trim,252
we00045,dead_props,15
we00045,unmatched,160
we00046,selector_trim,38
we00046,unmatched,188
we00047,dead_props,107
we00047,selector_trim,295
we00047,unmatched,280
we00048,unmatched,121
we00048,selector_trim,72
we00049,selector_trim,166
we00049,unmatched,331
we00049,dead_props,15
we00050,selector_trim,22
we00050,dead_props,214
we00051,unmatched,115
we00051,selector_trim,173
we00052,selector_trim,5
we00054,selector_trim,367
we00054,unmatched,1609
we00054,dead_props,250
we00055,dead_props,14
we00055,unmatched,213
we00055,selector_trim,21
we00056,unmatched,313
we00057,selector_trim,471
we00057,unmatched,1613
we00058,dead_props,15
we00059,selector_trim,70
we00060,unmatched,1096
we00062,selector_trim,63
we00063,selector_trim,421
we00063,unmatched,2177
we00063,dead_props,85
we00064,selector_trim,61
we00065,selector_trim,218
we00065,unmatched,1169
we00066,selector_trim,245
we00066,unmatched,66
we00067,selector_trim,421
we00067,unmatched,167
we00068,selector_trim,429
we00068,unmatched,2061
we00068,dead_props,313
we00070,unmatched,37
we00072,unmatched,2005
we00072,selector_trim,394
we00072,dead_props,65
we00073,unmatched,820
we00073,dead_props,14
we00073,selector_trim,86
we00076,selector_trim,462
we00076,unmatched,1161
we00076,dead_props,65
we00077,selector_trim,6
we00079,unmatched,845
we00079,selector_trim,197
we00079,dead_props,53
we00080,selector_trim,114
we00080,unmatched,53
we00081,selector_trim,225
we00081,unmatched,68
we00082,selector_trim,9
we00083,selector_trim,629
we00083,unmatched,680
we00083,dead_props,227
we00084,selector_trim,225
we00084,unmatched,68
we00086,unmatched,313
we00087,dead_props,26
we00088,selector_trim,6
we00088,unmatched,1393
we00088,dead_props,114
we00090,selector_trim,959
we00090,unmatched,603
we00090,dead_props,100
we00091,selector_trim,44
we00091,unmatched,1861
we00091,dead_props,166
we00092,unmatched,737
we00092,selector_trim,512
we00092,dead_props,213
we00093,unmatched,353
we00093,selector_trim,15
we00094,unmatched,611
we00094,dead_props,19
we00095,unmatched,2512
we00095,selector_trim,118
we00096,selector_trim,825
we00096,unmatched,909
we00096,dead_props,256
we00097,selector_trim,1117
we00097,unmatched,1465
we00097,dead_props,250
we00098,unmatched,108
we00098,selector_trim,58
we00099,selector_trim,188
we00099,unmatched,284
we00099,dead_props,15
