page_id,base,n_kept_invisible,n_kept_wrappers,tokens_saved_invisible,tokens_saved_wrappers,gate_calls
we00000,level1,4.0,12.0,29.0,79.0,1.0
we00001,level1,6.0,9.0,262.0,88.0,1.0
we00002,level1,15.0,7.0,157.0,28.0,1.0
we00003,level1,12.0,21.0,122.0,174.0,1.0
we00004,level1,14.0,65.0,882.0,941.0,22.0
we00005,level1,5.0,6.0,117.0,-2.0,1.0
we00006,level1,8.0,22.0,111.0,127.0,1.0
we00007,level1,14.0,2.0,149.0,-67.0,1.0
we00008,level1,5.0,5.0,26.0,5.0,28.0
we00009,level1,9.0,3.0,946.0,-4.0,1.0
we00010,level1,4.0,6.0,114.0,34.0,1.0
we00011,level1,4.0,4.0,337.0,25.0,1.0
we00012,level1,15.0,7.0,1462.0,132.0,1.0
we00014,level1,10.0,8.0,394.0,39.0,1.0
we00015,level1,7.0,10.0,328.0,71.0,1.0
we00016,level1,10.0,29.0,148.0,417.0,13.0
we00017,level1,8.0,0.0,27.0,0.0,1.0
we00018,level1,11.0,17.0,14.0,125.0,1.0
we00019,level1,8.0,22.0,111.0,127.0,1.0
we00020,level1,5.0,3.0,160.0,20.0,1.0
we00021,level1,9.0,5.0,216.0,28.0,1.0
we00022,level1,3.0,23.0,13.0,205.0,10.0
we00023,level1,3.0,9.0,117.0,169.0,1.0
we00024,level1,3.0,3.0,12.0,15.0,1.0
we00025,level1,16.0,8.0,1072.0,5.0,20.0
we00026,level1,11.0,15.0,344.0,122.0,1.0
we00027,level1,20.0,32.0,782.0,254.0,10.0
we00028,level1,6.0,2.0,54.0,-5.0,1.0
we00029,level1,6.0,12.0,167.0,124.0,4.0
we00030,level1,21.0,7.0,3067.0,28.0,1.0
we00031,level1,7.0,3.0,379.0,-14.0,1.0
we00034,level1,7.0,9.0,65.0,59.0,1.0
we00035,level1,3.0,0.0,86.0,0.0,1.0
we00036,level1,9.0,24.0,114.0,215.0,1.0
we00037,level1,10.0,4.0,91.0,-7.0,1.0
we00039,level1,1.0,1.0,8.0,7.0,1.0
we00040,level1,12.0,39.0,101.0,276.0,28.0
we00041,level1,8.0,19.0,81.0,200.0,14.0
we00042,level1,8.0,48.0,109.0,724.0,1.0
we00043,level1,10.0,8.0,178.0,38.0,1.0
we00044,level1,7.0,3.0,1072.0,9.0,1.0
we00045,level1,1.0,0.0,61.0,0.0,1.0
we00046,level1,4.0,9.0,-58.0,-24.0,1.0
we00047,level1,16.0,8.0,1072.0,5.0,20.0
we00048,level1,6.0,1.0,947.0,1.0,1.0
we00049,level1,7.0,39.0,37.0,601.0,1.0
we00050,level1,3.0,8.0,28.0,66.0,1.0
we00051,level1,6.0,9.0,116.0,57.0,14.0
we00052,level1,6.0,11.0,86.0,89.0,1.0
we00054,level1,6.0,34.0,1394.0,326.0,1.0
we00055,level1,20.0,1.0,507.0,-40.0,1.0
we00056,level1,4.0,0.0,81.0,0.0,1.0
we00057,level1,1.0,8.0,110.0,92.0,1.0
we00058,level1,3.0,39.0,30.0,213.0,1.0
we00059,level1,5.0,8.0,94.0,68.0,13.0
we00060,level1,10.0,22.0,169.0,248.0,16.0
we00061,level1,7.0,8.0,65.0,47.0,1.0
we00063,level1,8.0,7.0,489.0,51.0,1.0
we00065,level1,16.0,7.0,422.0,19.0,1.0
we00066,level1,6.0,6.0,146.0,32.0,4.0
we00067,level1,6.0,5.0,75.0,8.0,21.0
we00068,level1,10.0,7.0,558.0,57.0,12.0
we00069,level1,10.0,6.0,57.0,-5.0,1.0
we00070,level1,9.0,18.0,90.0,191.0,1.0
we00072,level1,13.0,8.0,1083.0,64.0,16.0
we00073,level1,4.0,10.0,190.0,293.0,1.0
we00074,level1,7.0,8.0,65.0,47.0,1.0
we00076,level1,6.0,7.0,219.0,56.0,13.0
we00077,level1,42.0,88.0,884.0,809.0,1.0
we00078,original,1.0,0.0,5.0,0.0,1.0
we00079,level1,22.0,0.0,1135.0,0.0,1.0
we00080,level1,19.0,36.0,325.0,316.0,1.0
we00081,level1,3.0,1.0,64.0,-33.0,1.0
we00082,level1,7.0,15.0,30.0,107.0,18.0
we00083,level1,4.0,11.0,117.0,73.0,1.0
we00084,level1,3.0,1.0,64.0,-33.0,1.0
we00085,level1,1.0,0.0,21.0,0.0,1.0
we00086,level1,4.0,0.0,83.0,0.0,1.0
we00087,level1,1.0,0.0,26.0,0.0,1.0
we00088,level1,10.0,3.0,322.0,30.0,1.0
we00090,level1,12.0,8.0,871.0,69.0,1.0
we00091,level1,3.0,6.0,546.0,60.0,1.0
we00092,level1,6.0,6.0,141.0,64.0,1.0
we00093,level1,3.0,9.0,117.0,169.0,1.0
we00094,level1,8.0,1.0,220.0,2.0,1.0
we00095,level1,12.0,11.0,581.0,140.0,1.0
we00096,level1,5.0,4.0,123.0,10.0,1.0
we00097,level1,11.0,7.0,288.0,53.0,1.0
we00098,level1,19.0,19.0,207.0,111.0,17.0
we00099,level1,3.0,4.0,63.0,28.0,1.0
