page_id,status,validated,selected_level,final_level,final_pixel_identical,repeat_measured,original_repeat_identical,rungs_tried,tokens_orig_logged,tokens_final_logged,png_path,artifact_hashes_verified,original_html_path,final_html_path,bytes_original,bytes_final,token_recount_mismatch,tokens_orig,tokens_effective,reduction_pct,actually_shorter,best_through_l1_logged,best_through_l2_logged,best_through_l3_logged
we00000,ok,True,l3,l3,True,True,True,1.0,2371.0,1543.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00000.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00000.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00000.html,6838,4623,False,2371,1543,34.921973850695906,True,1966,1845,1543
we00001,ok,True,l3,l3,True,True,True,1.0,5544.0,3374.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00001.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00001.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00001.html,18360,11441,False,5544,3374,39.14141414141414,True,4468,4127,3374
we00002,ok,True,l3,l3,True,True,True,1.0,2609.0,2047.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00002.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00002.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00002.html,8443,6566,False,2609,2047,21.540820237638943,True,2389,2168,2047
we00003,ok,True,l2,l2,True,True,True,1.0,2641.0,1932.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00003.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00003.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00003.html,8590,6461,False,2641,1932,26.845891707686484,True,2242,1932,1932
we00004,ok,True,l3,l3,True,True,True,1.0,3802.0,1776.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00004.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00004.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00004.html,13487,6397,False,3802,1776,53.28774329300368,True,3630,1807,1776
we00005,ok,True,l3,l3,True,True,True,1.0,3501.0,2526.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00005.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00005.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00005.html,10953,7976,False,3501,2526,27.84918594687232,True,2852,2666,2526
we00006,ok,True,l3,l3,True,True,True,1.0,6634.0,3559.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00006.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00006.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00006.html,23710,12807,False,6634,3559,46.3521254145312,True,5553,5264,3559
we00007,ok,True,l3,l3,True,True,True,1.0,5269.0,3910.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00007.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00007.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00007.html,16149,11697,False,5269,3910,25.792370468779655,True,4268,4108,3910
we00008,ok,True,l3,l3,True,True,True,1.0,2999.0,2706.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00008.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00008.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00008.html,9251,8074,False,2999,2706,9.769923307769256,True,2810,2736,2706
we00009,ok,True,l3,l3,True,True,True,1.0,5385.0,2733.0,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\renders_final\webcode2m\we00009.png,True,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00009.html,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00009.html,17199,8955,False,5385,2733,49.24791086350975,True,4378,3401,2733
