page_id,category,tokens_original,tokens_final,tokens_saved,characters_original,characters_final
we00000,unattributed,0,0,0,0,0
we00000,markup,593,529,64,1332,1143
we00000,attributes,262,195,67,1179,898
we00000,inline_css,0,0,0,0,0
we00000,css_blocks,1134,446,688,3010,1416
we00000,scripts,0,0,0,0,0
we00000,comments,0,0,0,0,0
we00000,text,341,341,0,1063,1063
we00000,whitespace,41,32,9,112,102
we00000,special_tokens,0,0,0,0,0
we00001,unattributed,0,0,0,0,0
we00001,markup,517,406,111,1251,962
we00001,attributes,1289,1023,266,4835,3893
we00001,inline_css,5,0,5,22,0
we00001,css_blocks,3604,1838,1766,11292,6202
we00001,scripts,0,0,0,0,0
we00001,comments,0,0,0,0,0
we00001,text,109,92,17,405,328
we00001,whitespace,20,15,5,64,55
we00001,special_tokens,0,0,0,0,0
we00002,unattributed,0,0,0,0,0
we00002,markup,651,534,117,1527,1227
we00002,attributes,970,882,88,3497,3142
we00002,inline_css,32,14,18,134,53
we00002,css_blocks,519,237,282,1646,730
we00002,scripts,0,0,0,0,0
we00002,comments,0,0,0,0,0
we00002,text,341,315,26,1252,1159
we00002,whitespace,96,65,31,275,221
we00002,special_tokens,0,0,0,0,0
we00003,unattributed,0,0,0,0,0
we00003,markup,614,438,176,1600,1095
we00003,attributes,1215,807,408,4079,2886
we00003,inline_css,67,48,19,183,104
we00003,css_blocks,290,201,89,1048,779
we00003,scripts,0,0,0,0,0
we00003,comments,0,0,0,0,0
we00003,text,379,376,3,1313,1301
we00003,whitespace,76,62,14,269,249
we00003,special_tokens,0,0,0,0,0
we00004,unattributed,0,0,0,0,0
we00004,markup,1273,398,875,3520,952
we00004,attributes,1437,575,862,5947,2463
we00004,inline_css,184,0,184,648,0
we00004,css_blocks,292,176,116,875,530
we00004,scripts,0,0,0,0,0
we00004,comments,0,0,0,0,0
we00004,text,544,544,0,2038,2038
we00004,whitespace,72,83,-11,394,391
we00004,special_tokens,0,0,0,0,0
we00005,unattributed,0,0,0,0,0
we00005,markup,581,518,63,1423,1246
we00005,attributes,495,426,69,1980,1687
we00005,inline_css,57,38,19,157,78
we00005,css_blocks,1692,985,707,4733,2844
we00005,scripts,0,0,0,0,0
we00005,comments,0,0,0,0,0
we00005,text,568,464,104,1974,1743
we00005,whitespace,108,95,13,386,347
we00005,special_tokens,0,0,0,0,0
we00006,unattributed,0,0,0,0,0
we00006,markup,812,646,166,1966,1567
we00006,attributes,932,697,235,3544,2731
we00006,inline_css,0,0,0,0,0
we00006,css_blocks,3803,1223,2580,12882,3746
we00006,scripts,0,0,0,0,0
we00006,comments,0,0,0,0,0
we00006,text,945,940,5,3910,3883
we00006,whitespace,142,53,89,949,787
we00006,special_tokens,0,0,0,0,0
we00007,unattributed,0,0,0,0,0
we00007,markup,837,765,72,2153,1948
we00007,attributes,912,760,152,3270,2733
we00007,inline_css,12,6,6,44,21
we00007,css_blocks,2790,1674,1116,7830,4694
we00007,scripts,0,0,0,0,0
we00007,comments,0,0,0,0,0
we00007,text,620,618,2,1969,1952
we00007,whitespace,98,87,11,421,347
we00007,special_tokens,0,0,0,0,0
we00008,unattributed,0,0,0,0,0
we00008,markup,1143,1112,31,2461,2401
we00008,attributes,726,672,54,2659,2466
we00008,inline_css,77,75,2,307,278
we00008,css_blocks,455,291,164,1342,847
we00008,scripts,0,0,0,0,0
we00008,comments,0,0,0,0,0
we00008,text,494,481,13,1861,1817
we00008,whitespace,104,75,29,525,258
we00008,special_tokens,0,0,0,0,0
we00009,unattributed,0,0,0,0,0
we00009,markup,667,420,247,1557,1033
we00009,attributes,1460,729,731,5032,2589
we00009,inline_css,13,0,13,62,0
we00009,css_blocks,2659,1065,1594,8026,3459
