page_id,base,base_path,tokens_page,chars_page,n_style_blocks,chars_css,tokens_css,chars_selector_trim,tokens_selector_trim,chars_unmatched,tokens_unmatched,status,n_rules,n_style_rules,n_selectors_asked,n_selectors_unmatched,n_selectors_invalid,css_candidate_chars,css_candidate_tokens,css_candidate_pct_of_css_chars,proposed_tokens_saved,proposed_pct_of_page_tokens,chars_dead_props,tokens_dead_props
we00000,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00000.html,1845,5324,1,2118,749,59.0,16.0,643.0,286.0,ok,30.0,30.0,37.0,8.0,0.0,702.0,302.0,33.14,302.0,16.37,,
we00001,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00001.html,4127,13768,1,8530,2592,1133.0,356.0,988.0,344.0,ok,110.0,110.0,186.0,87.0,0.0,2328.0,753.0,27.29,753.0,18.25,207.0,53.0
we00002,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00002.html,2168,6983,1,1181,360,292.0,79.0,159.0,42.0,ok,19.0,19.0,46.0,23.0,0.0,451.0,121.0,38.19,121.0,5.58,,
we00003,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00003.html,1932,6414,1,779,202,,,,,ok,10.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00004,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00004.html,1807,6492,1,648,209,118.0,31.0,,,ok,12.0,12.0,24.0,8.0,0.0,118.0,31.0,18.21,31.0,1.72,,
we00005,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00005.html,2666,8409,1,3308,1126,330.0,101.0,119.0,37.0,ok,46.0,46.0,71.0,29.0,0.0,464.0,140.0,14.03,140.0,5.25,15.0,2.0
we00006,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00006.html,5264,19616,1,10648,2929,5680.0,1318.0,1166.0,371.0,ok,76.0,76.0,213.0,149.0,0.0,6902.0,1705.0,64.82,1705.0,32.39,56.0,16.0
we00007,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00007.html,4108,12374,1,5373,1874,222.0,74.0,398.0,113.0,ok,90.0,90.0,96.0,17.0,0.0,679.0,198.0,12.64,198.0,4.82,59.0,11.0
we00008,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00008.html,2736,8187,1,967,322,68.0,18.0,37.0,9.0,ok,18.0,18.0,33.0,7.0,0.0,120.0,30.0,12.41,30.0,1.1,15.0,3.0
we00009,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00009.html,3401,10978,1,5495,1734,427.0,155.0,1215.0,394.0,ok,85.0,85.0,139.0,74.0,0.0,2036.0,668.0,37.05,668.0,19.64,394.0,119.0
