kind,name,gate,n_valid,safe_max,safe_p99,breaking_median,floor,auc,recall_at_fpr0,recall_at_fpr1pct,recall_at_fpr5pct,breaking_slip_rate,safe_accept_rate,recall,recall_ci_lo,recall_ci_hi,fpr,thresholds,recall_M1,recall_M2,recall_M3,recall_M4,recall_M5,recall_M6,recall_M7,recall_M8,recall_src_webcode2m,n,detected,rate,ci_lo,ci_hi,ssim_slip_0.99
metric,height_delta,G2,1404.0,0.0,0.0,0.0,1.0,0.6215,0.243,0.243,0.243,,,,,,,,,,,,,,,,,,,,,,
metric,text_dissim,G3,1404.0,0.0,0.0,0.0,0.0005,0.6168,0.2336,0.2336,0.2336,,,,,,,,,,,,,,,,,,,,,,
metric,iou_deficit,G4,1404.0,0.05159999999999998,0.01312999999999995,0.008299999999999974,0.005,0.8405,0.3161,0.4522,0.7017,,,,,,,,,,,,,,,,,,,,,,
metric,center_shift,G4,1404.0,482.24,71.08269999999983,8.0,1.0,0.8382,0.0563,0.1529,0.7036,,,,,,,,,,,,,,,,,,,,,,
metric,deltae_p95,G5,1404.0,2.102,0.0,0.0,0.5,0.654,0.0835,0.3114,0.3114,,,,,,,,,,,,,,,,,,,,,,
metric,deltae_max,G5,1404.0,10.508,5.688009999999991,0.357,1.0,0.8678,0.0281,0.1182,0.7683,,,,,,,,,,,,,,,,,,,,,,
metric,lpips_max_tile,G6,0.0,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,
metric,n_unmatched>0,G4,1404.0,0.0029585798816568047,,,,,0.1426,,,,,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.9,SSIM,,,,,,,,,,0.864,1.0,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.95,SSIM,,,,,,,,,,0.8077,1.0,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.99,SSIM,,,,,,,,,,0.6998,1.0,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.995,SSIM,,,,,,,,,,0.6107,1.0,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_best>= 0.999,SSIM,,,,,,,,,,0.3208,1.0,,,,,,,,,,,,,,,,,,,,
ssim_diag,ssim_dissim(best),SSIM,,,,,,0.992,0.9841,,0.9841,,,,,,,,,,,,,,,,,,,,,,
composite,provisional,,,,,,,,,,,,,0.7955,0.7702,0.8186,0.0237,"{""height_delta"": 2.0, ""text_dissim"": 0.005, ""iou_deficit"": 0.05, ""center_shift"": 5.0, ""deltae_p95"": 2.0, ""deltae_max"": 5.0, ""lpips_max_tile"": 0.03}",1.0,0.494,0.917,0.487,0.841,0.952,1.0,1.0,0.795,,,,,,
composite,safe_max,,,,,,,,,,,,,0.5206,0.4906,0.5505,0.003,"{""height_delta"": 1.0, ""text_dissim"": 0.0005, ""iou_deficit"": 0.0645, ""center_shift"": 602.8, ""deltae_p95"": 2.6275, ""deltae_max"": 13.135, ""lpips_max_tile"": 0.005}",1.0,1.0,0.15,0.208,0.506,0.81,0.929,1.0,0.521,,,,,,
composite,strict,,,,,,,,,,,,,0.9728,0.9612,0.981,0.0266,"{""height_delta"": 1.0, ""text_dissim"": 0.0005, ""iou_deficit"": 0.005, ""center_shift"": 1.0, ""deltae_p95"": 0.5, ""deltae_max"": 1.0, ""lpips_max_tile"": 0.005}",1.0,1.0,0.988,0.917,0.965,1.0,1.0,1.0,0.973,,,,,,
detection,M1:default,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,85.0,1.0,0.9568,1.0,0.5176
detection,M2:default,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,85.0,1.0,0.9568,1.0,0.8941
detection,M3:px16,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,85.0,1.0,0.9568,1.0,0.8471
detection,M3:px32,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,83.0,0.9881,0.9356,0.9979,0.7738
detection,M3:px8,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,82.0,0.9762,0.9173,0.9934,0.881
detection,M4:de10,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,74.0,0.925,0.8459,0.9652,0.975
detection,M4:de2,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,71.0,0.8875,0.7998,0.9397,0.9625
detection,M4:de5,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,75.0,0.9375,0.8619,0.973,0.975
detection,M5:minus2,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,81.0,0.9529,0.8852,0.9816,0.6824
detection,M5:plus2,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,83.0,0.9765,0.9182,0.9935,0.3529
detection,M6:default,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,84.0,1.0,0.9563,1.0,0.3095
detection,M7:default,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,85.0,1.0,0.9568,1.0,0.5059
detection,M8:default,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,1.0,0.9434,1.0,0.3906
