page_id,first_breaking_step,px_roundtrip,px_comments,px_scripts,px_links,px_meta,px_attr_on,px_attr_aria,px_attr_title,px_attr_data,px_style_attr_min,px_style_block_min
we00008,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00013,roundtrip,20228,20228,20228,20228,20228,20228,20228,20228,20228,20228,20228
we00015,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00017,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00018,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00021,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00025,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00026,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00030,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00035,roundtrip,42755,42759,42755,42755,42755,42755,42755,42755,42755,42755,42759
we00040,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00047,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00067,roundtrip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
we00069,roundtrip,4438,4438,4438,4438,4438,4438,4438,4438,4438,4438,4438
we00078,style_block_min,0,0,0,0,0,0,0,0,0,0,16082
