page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,status
we00000,qwen2.5-vl,True,2371.0,2289.0,3.458,True,1244.0,1244.0,0.0,True,1.0,True,77.0,77.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00001,qwen2.5-vl,True,5544.0,5392.0,2.742,True,2107.0,2107.0,0.0,True,0.99858,False,39.0,39.0,0.9959,3.89,0.0,False,0.029,0.221,True,0.99967,True,False,False,ok
we00002,qwen2.5-vl,True,2609.0,2518.0,3.488,True,1249.0,1249.0,0.0,True,1.0,True,79.0,79.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00003,qwen2.5-vl,True,2641.0,2280.0,13.669,True,2518.0,2518.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00004,qwen2.5-vl,True,3802.0,3696.0,2.788,True,1420.0,1420.0,0.0,True,0.99874,False,50.0,50.0,0.9921,4.0,0.0,False,0.042,0.051,True,0.99303,True,False,False,ok
we00005,qwen2.5-vl,True,3501.0,3349.0,4.342,True,1656.0,1656.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00006,qwen2.5-vl,True,6634.0,6351.0,4.266,True,2528.0,2528.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00007,qwen2.5-vl,True,5269.0,5082.0,3.549,True,1839.0,1839.0,0.0,True,1.0,True,101.0,101.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00008,qwen2.5-vl,True,2999.0,2754.0,8.169,True,1461.0,1458.0,3.0,False,1.0,True,134.0,134.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,False,False,ok
we00009,qwen2.5-vl,True,5385.0,5222.0,3.027,True,802.0,802.0,0.0,True,1.0,True,55.0,55.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00010,qwen2.5-vl,True,5063.0,4936.0,2.508,True,2963.0,2963.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00011,qwen2.5-vl,True,6945.0,6869.0,1.094,True,1748.0,1748.0,0.0,True,1.0,True,21.0,21.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00012,qwen2.5-vl,True,5271.0,5135.0,2.58,True,2185.0,2185.0,0.0,True,1.0,True,44.0,44.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00013,qwen2.5-vl,True,2593.0,2380.0,8.214,True,1217.0,1217.0,0.0,True,1.0,True,87.0,87.0,0.8921,6.45,0.0,False,0.0,0.0,True,0.98634,True,False,False,ok
we00014,qwen2.5-vl,True,8924.0,8737.0,2.095,True,1735.0,1735.0,0.0,True,1.0,True,71.0,71.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00015,qwen2.5-vl,True,7629.0,7500.0,1.691,True,1823.0,1809.0,14.0,False,1.0,True,34.0,34.0,0.9436,14.0,0.0,False,0.416,0.419,True,0.9938,True,False,False,ok
we00016,qwen2.5-vl,True,5951.0,5885.0,1.109,True,1600.0,1600.0,0.0,True,1.0,True,31.0,31.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00017,qwen2.5-vl,True,1207.0,1129.0,6.462,True,867.0,859.0,8.0,False,1.0,True,29.0,29.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,False,False,ok
we00018,qwen2.5-vl,True,4121.0,3868.0,6.139,True,2209.0,2199.0,10.0,False,1.0,True,65.0,65.0,0.4935,9.75,0.0,False,0.049,0.087,True,0.87249,True,False,False,ok
we00019,qwen2.5-vl,True,6600.0,6317.0,4.288,True,2528.0,2528.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00020,qwen2.5-vl,True,4953.0,4886.0,1.353,True,1262.0,1262.0,0.0,True,1.0,True,26.0,26.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00021,qwen2.5-vl,True,5527.0,5329.0,3.582,True,985.0,965.0,20.0,False,1.0,True,84.0,84.0,0.9887,9.98,0.0,False,0.0,0.314,True,0.99797,True,False,False,ok
we00022,qwen2.5-vl,True,4247.0,4087.0,3.767,True,1902.0,1902.0,0.0,True,1.0,True,65.0,65.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00023,qwen2.5-vl,True,3017.0,2932.0,2.817,True,1422.0,1422.0,0.0,True,1.0,True,27.0,27.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00024,qwen2.5-vl,True,2842.0,2792.0,1.759,True,1546.0,1546.0,0.0,True,1.0,True,37.0,37.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00025,qwen2.5-vl,True,6591.0,6424.0,2.534,True,1549.0,2827.0,1278.0,False,0.92027,False,34.0,63.0,0.0392,1277.84,29.0,False,4.945,13.342,False,0.83178,True,False,False,ok
we00026,qwen2.5-vl,True,2870.0,2791.0,2.753,True,2156.0,2124.0,32.0,False,1.0,True,38.0,38.0,0.8515,32.0,0.0,False,0.0,0.059,True,0.96017,True,False,False,ok
we00027,qwen2.5-vl,True,4501.0,4176.0,7.221,True,1854.0,1854.0,0.0,True,1.0,True,86.0,86.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00028,qwen2.5-vl,True,2142.0,2115.0,1.261,True,918.0,918.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00029,qwen2.5-vl,True,3422.0,3265.0,4.588,True,2223.0,2223.0,0.0,True,0.99981,True,78.0,78.0,0.9937,4.0,0.0,False,0.0,0.012,True,0.99817,True,False,False,ok
we00030,qwen2.5-vl,True,4391.0,3892.0,11.364,True,1773.0,1767.0,6.0,False,1.0,True,47.0,47.0,0.9667,6.0,0.0,False,0.0,0.0,True,0.99545,True,False,False,ok
we00031,qwen2.5-vl,True,7592.0,7496.0,1.264,True,2970.0,2970.0,0.0,True,1.0,True,29.0,29.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00032,qwen2.5-vl,True,2560.0,2272.0,11.25,True,800.0,800.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00033,qwen2.5-vl,True,4997.0,4517.0,9.606,True,2085.0,2085.0,0.0,True,1.0,True,138.0,138.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00034,qwen2.5-vl,True,2835.0,2743.0,3.245,True,1998.0,1998.0,0.0,True,0.99989,True,66.0,66.0,0.9994,3.62,0.0,False,0.0,0.154,True,0.99854,True,False,False,ok
we00035,qwen2.5-vl,True,2717.0,2624.0,3.423,True,800.0,800.0,0.0,True,1.0,True,33.0,33.0,0.8178,13.0,0.0,False,0.0,0.151,True,0.94033,True,False,False,ok
we00036,qwen2.5-vl,True,2505.0,2369.0,5.429,True,1908.0,1908.0,0.0,True,1.0,True,84.0,84.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00037,qwen2.5-vl,True,3187.0,3104.0,2.604,True,2336.0,2336.0,0.0,True,1.0,True,88.0,88.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00038,qwen2.5-vl,True,2528.0,2218.0,12.263,True,800.0,800.0,0.0,True,1.0,True,78.0,78.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00039,qwen2.5-vl,True,3022.0,2993.0,0.96,True,2188.0,2188.0,0.0,True,0.99994,True,14.0,14.0,0.9945,4.45,0.0,False,0.141,0.362,True,0.99884,True,False,False,ok
we00040,qwen2.5-vl,True,3075.0,2791.0,9.236,True,2639.0,2636.0,3.0,False,0.99987,True,97.0,97.0,0.7289,146.52,0.0,False,0.086,1.0,True,0.84913,True,False,False,ok
we00041,qwen2.5-vl,True,3819.0,3717.0,2.671,True,1953.0,1953.0,0.0,True,1.0,True,53.0,53.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00042,qwen2.5-vl,True,3565.0,3418.0,4.123,True,1991.0,1991.0,0.0,True,1.0,True,72.0,72.0,0.9963,4.0,0.0,False,0.0,0.0,True,0.9993,True,False,False,ok
we00043,qwen2.5-vl,True,1527.0,1472.0,3.602,True,1040.0,1040.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00044,qwen2.5-vl,True,5874.0,5447.0,7.269,True,844.0,844.0,0.0,True,1.0,True,23.0,23.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
