page_id,kind,el_id,kept,blacklisted
we00001,remove,24,True,False
we00001,remove,39,True,False
we00001,remove,63,True,False
we00001,remove,67,True,False
we00001,remove,71,True,False
we00001,remove,88,True,False
we00001,remove,90,True,False
we00001,remove,109,True,False
we00001,remove,112,True,False
we00001,collapse,40,True,False
we00001,collapse,81,True,False
we00001,collapse,79,True,False
we00001,collapse,54,True,False
we00001,collapse,65,True,False
we00001,collapse,78,True,False
we00001,collapse,52,True,False
we00001,collapse,51,True,False
we00001,collapse,48,True,False
we00001,collapse,2,True,False
we00001,collapse,1,False,True
we00002,remove,6,True,False
we00002,remove,7,True,False
we00002,remove,21,True,False
we00002,remove,31,True,False
we00002,remove,34,True,False
we00002,remove,48,True,False
we00002,remove,51,True,False
we00002,remove,53,True,False
we00002,remove,84,True,False
we00002,remove,87,True,False
we00002,remove,89,True,False
we00002,remove,140,True,False
we00002,remove,141,True,False
we00002,remove,143,True,False
we00002,remove,146,False,True
we00002,collapse,41,False,True
we00002,collapse,77,False,True
we00002,collapse,55,False,True
we00002,collapse,91,False,True
we00002,collapse,11,False,True
we00002,collapse,13,False,True
we00002,collapse,33,False,True
we00002,collapse,116,False,True
we00002,collapse,4,False,True
we00002,collapse,24,False,True
we00002,collapse,3,False,True
we00002,collapse,23,False,True
we00002,collapse,1,False,True
we00003,remove,1,False,True
we00003,remove,2,False,True
we00003,remove,44,False,True
we00003,remove,46,False,True
we00003,remove,55,False,True
we00003,remove,56,False,True
we00003,remove,59,False,True
we00003,remove,60,False,True
we00003,remove,61,False,True
we00003,remove,62,False,True
we00003,remove,63,False,True
we00003,remove,64,False,True
we00003,remove,65,False,True
we00003,remove,66,False,True
we00003,remove,67,False,True
we00003,remove,74,False,True
we00003,remove,77,False,True
we00003,remove,78,False,True
we00003,remove,79,False,True
we00003,remove,80,False,True
we00003,remove,87,False,True
we00003,remove,103,False,True
we00003,remove,109,False,True
we00003,remove,138,False,True
we00003,remove,140,True,False
we00003,remove,144,True,False
we00003,remove,148,True,False
we00003,collapse,91,True,False
we00003,collapse,107,True,False
we00003,collapse,36,True,False
we00003,collapse,89,True,False
we00003,collapse,106,True,False
we00003,collapse,33,True,False
we00003,collapse,35,True,False
we00003,collapse,84,True,False
we00003,collapse,88,True,False
we00003,collapse,100,True,False
we00003,collapse,105,True,False
we00003,collapse,20,True,False
we00003,collapse,32,True,False
we00003,collapse,40,True,False
we00003,collapse,104,True,False
we00003,collapse,8,True,False
we00003,collapse,19,True,False
we00003,collapse,3,True,False
we00003,collapse,7,True,False
we00003,collapse,18,True,False
we00003,collapse,6,True,False
we00004,remove,1,False,False
we00004,remove,11,False,False
we00004,remove,21,False,False
we00004,remove,31,False,False
we00004,remove,41,False,False
we00004,remove,51,False,False
we00004,remove,61,False,False
we00004,remove,71,False,False
we00004,remove,90,False,False
we00004,remove,125,False,False
we00004,remove,155,False,False
we00004,remove,161,False,False
we00004,remove,200,False,False
we00004,remove,228,False,False
we00004,collapse,177,False,False
we00004,collapse,188,False,False
we00004,collapse,197,False,False
we00004,collapse,176,False,False
we00004,collapse,187,False,False
we00004,collapse,196,False,False
we00004,collapse,145,False,False
we00004,collapse,159,False,True
we00004,collapse,175,False,False
we00004,collapse,180,False,False
we00004,collapse,186,False,False
we00004,collapse,195,False,False
we00004,collapse,214,False,False
we00004,collapse,220,False,False
we00004,collapse,226,False,False
we00004,collapse,143,False,False
we00004,collapse,148,False,False
we00004,collapse,172,False,False
we00004,collapse,183,False,False
we00004,collapse,192,False,False
we00004,collapse,211,False,False
we00004,collapse,217,False,False
we00004,collapse,223,False,False
we00004,collapse,142,False,False
we00004,collapse,157,False,False
we00004,collapse,171,False,False
we00004,collapse,182,False,False
we00004,collapse,191,False,False
we00004,collapse,210,True,False
we00004,collapse,216,True,False
we00004,collapse,222,True,False
we00004,collapse,101,False,True
we00004,collapse,104,True,False
we00004,collapse,137,True,False
we00004,collapse,170,True,False
we00004,collapse,209,True,False
we00004,collapse,100,True,False
we00004,collapse,136,False,True
we00004,collapse,166,True,False
we00004,collapse,169,True,False
we00004,collapse,201,True,False
we00004,collapse,205,True,False
we00004,collapse,208,True,False
we00004,collapse,229,True,False
we00004,collapse,99,True,False
we00004,collapse,107,True,False
we00004,collapse,165,True,False
we00004,collapse,204,True,False
we00004,collapse,98,True,False
we00004,collapse,106,True,False
we00004,collapse,120,True,False
we00004,collapse,134,True,False
we00004,collapse,86,True,False
we00004,collapse,97,True,False
we00004,collapse,119,True,False
we00004,collapse,129,True,False
we00004,collapse,133,True,False
we00004,collapse,163,True,False
we00004,collapse,85,True,False
we00004,collapse,96,True,False
we00004,collapse,118,True,False
we00004,collapse,128,True,False
we00004,collapse,233,True,False
we00004,collapse,84,True,False
we00004,collapse,95,True,False
we00004,collapse,117,True,False
we00004,collapse,127,True,False
we00004,collapse,232,True,False
we00004,collapse,83,True,False
we00004,collapse,231,True,False
we00004,collapse,93,True,False
we00006,remove,1,False,True
we00006,remove,13,False,True
we00006,remove,15,False,True
we00006,remove,16,False,True
we00006,remove,22,False,True
we00006,remove,25,False,True
we00006,remove,41,False,True
we00006,remove,54,False,True
we00006,remove,176,False,True
we00006,remove,181,False,True
we00006,remove,182,False,True
we00006,collapse,52,False,True
we00006,collapse,47,False,True
we00006,collapse,73,False,True
we00006,collapse,76,False,True
we00006,collapse,72,False,True
we00006,collapse,28,False,True
we00006,collapse,81,False,True
we00006,collapse,86,True,False
we00006,collapse,91,True,False
we00006,collapse,96,True,False
we00006,collapse,101,True,False
we00006,collapse,106,True,False
we00006,collapse,111,True,False
we00006,collapse,116,True,False
we00006,collapse,121,True,False
we00006,collapse,126,True,False
we00006,collapse,131,True,False
we00006,collapse,136,True,False
we00006,collapse,141,True,False
we00006,collapse,146,True,False
we00006,collapse,151,True,False
