page_id,source,base,n_invisible,n_wrappers,n_candidate_edits,tokens_base,status,accepted,reduction_pct,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical
we00000,webcode2m,level1,4.0,19.0,23.0,2289.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00001,webcode2m,original,9.0,11.0,20.0,5544.0,ok,True,8.333,15.0,19.0,9.0,10.0,1.0,375.0,96.0,qwen2.5-vl,True,5544.0,5082.0,True,2107.0,2107.0,0.0,True,1.0,True,39.0,39.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00002,webcode2m,level1,15.0,13.0,28.0,2518.0,ok,True,4.845,29.0,14.0,14.0,0.0,14.0,122.0,0.0,qwen2.5-vl,True,2518.0,2396.0,True,1249.0,1249.0,0.0,True,1.0,True,79.0,79.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00003,webcode2m,level1,27.0,21.0,48.0,2280.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00004,webcode2m,original,14.0,71.0,85.0,3802.0,ok,True,34.087,40.0,40.0,14.0,26.0,2.0,970.0,326.0,qwen2.5-vl,True,3802.0,2506.0,True,1420.0,1420.0,0.0,True,1.0,True,50.0,50.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00005,webcode2m,level1,23.0,12.0,35.0,3349.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00006,webcode2m,level1,11.0,25.0,36.0,6351.0,ok,True,0.205,37.0,18.0,0.0,18.0,18.0,0.0,13.0,qwen2.5-vl,True,6351.0,6338.0,True,2528.0,2528.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00007,webcode2m,level1,43.0,6.0,49.0,5082.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00008,webcode2m,original,25.0,18.0,43.0,2999.0,ok,True,2.234,40.0,5.0,5.0,0.0,12.0,67.0,0.0,qwen2.5-vl,True,2999.0,2932.0,True,1458.0,1458.0,0.0,True,1.0,True,134.0,134.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00009,webcode2m,level1,12.0,6.0,18.0,5222.0,ok,True,14.899,29.0,4.0,4.0,0.0,14.0,778.0,0.0,qwen2.5-vl,True,5222.0,4444.0,True,802.0,802.0,0.0,True,1.0,True,55.0,55.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00010,webcode2m,level1,8.0,15.0,23.0,4936.0,ok,True,3.039,25.0,11.0,8.0,3.0,12.0,121.0,-91.0,qwen2.5-vl,True,4936.0,4786.0,True,2963.0,2963.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00011,webcode2m,level1,5.0,8.0,13.0,6869.0,ok,True,3.945,21.0,3.0,3.0,0.0,10.0,271.0,0.0,qwen2.5-vl,True,6869.0,6598.0,True,1748.0,1748.0,0.0,True,1.0,True,21.0,21.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00012,webcode2m,level1,16.0,11.0,27.0,5135.0,ok,True,30.341,18.0,20.0,16.0,4.0,7.0,1501.0,-26.0,qwen2.5-vl,True,5135.0,3577.0,True,2185.0,2185.0,0.0,True,1.0,True,44.0,44.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00013,webcode2m,original,43.0,1.0,44.0,2593.0,ok,True,0.077,40.0,1.0,1.0,0.0,17.0,2.0,0.0,qwen2.5-vl,True,2593.0,2591.0,True,1217.0,1217.0,0.0,True,0.99986,True,87.0,87.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00014,webcode2m,level1,11.0,8.0,19.0,8737.0,ok,True,2.415,31.0,4.0,4.0,0.0,15.0,211.0,0.0,qwen2.5-vl,True,8737.0,8526.0,True,1735.0,1735.0,0.0,True,1.0,True,71.0,71.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00015,webcode2m,original,9.0,12.0,21.0,7629.0,ok,True,6.423,31.0,18.0,8.0,10.0,3.0,412.0,96.0,qwen2.5-vl,True,7629.0,7139.0,True,1809.0,1809.0,0.0,True,1.0,True,34.0,34.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00016,webcode2m,level1,14.0,38.0,52.0,5885.0,ok,True,3.297,40.0,13.0,0.0,13.0,14.0,0.0,194.0,qwen2.5-vl,True,5885.0,5691.0,True,1600.0,1600.0,0.0,True,1.0,True,31.0,31.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
