page_id,source,dataset_png_path,html_path,level,tokens_orig,tokens_final,reduction_pct,l1_ok,l2_ok,l3_ok,l2_base,l3_base,ladder
we00000,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00000.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00000.html,l2,2371.0,1845.0,22.185,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00000.html"", ""tokens"": 1845.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00000.html"", ""tokens"": 1966.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00000.html"", ""tokens"": 2371.0, ""base"": """"}]"
we00001,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00001.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00001.html,l2,5544.0,4127.0,25.559,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00001.html"", ""tokens"": 4127.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00001.html"", ""tokens"": 4468.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00001.html"", ""tokens"": 5544.0, ""base"": """"}]"
we00002,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00002.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00002.html,l2,2609.0,2168.0,16.903,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00002.html"", ""tokens"": 2168.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00002.html"", ""tokens"": 2389.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00002.html"", ""tokens"": 2609.0, ""base"": """"}]"
we00003,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00003.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00003.html,l2,2641.0,1932.0,26.846,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00003.html"", ""tokens"": 1932.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00003.html"", ""tokens"": 2242.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00003.html"", ""tokens"": 2641.0, ""base"": """"}]"
we00004,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00004.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00004.html,l2,3802.0,1807.0,52.472,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00004.html"", ""tokens"": 1807.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00004.html"", ""tokens"": 3630.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00004.html"", ""tokens"": 3802.0, ""base"": """"}]"
we00005,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00005.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00005.html,l2,3501.0,2666.0,23.85,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00005.html"", ""tokens"": 2666.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00005.html"", ""tokens"": 2852.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00005.html"", ""tokens"": 3501.0, ""base"": """"}]"
we00006,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00006.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00006.html,l2,6634.0,5264.0,20.651,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00006.html"", ""tokens"": 5264.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00006.html"", ""tokens"": 5553.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00006.html"", ""tokens"": 6634.0, ""base"": """"}]"
we00007,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00007.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00007.html,l2,5269.0,4108.0,22.035,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00007.html"", ""tokens"": 4108.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00007.html"", ""tokens"": 4268.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00007.html"", ""tokens"": 5269.0, ""base"": """"}]"
we00008,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00008.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00008.html,l2,2999.0,2736.0,8.77,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00008.html"", ""tokens"": 2736.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00008.html"", ""tokens"": 2810.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00008.html"", ""tokens"": 2999.0, ""base"": """"}]"
we00009,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00009.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00009.html,l2,5385.0,3401.0,36.843,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00009.html"", ""tokens"": 3401.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00009.html"", ""tokens"": 4378.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00009.html"", ""tokens"": 5385.0, ""base"": """"}]"
we00010,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00010.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00010.html,l2,5063.0,4021.0,20.581,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00010.html"", ""tokens"": 4021.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00010.html"", ""tokens"": 4195.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00010.html"", ""tokens"": 5063.0, ""base"": """"}]"
we00011,webcode2m,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00011.png,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\level2\webcode2m\we00011.html,l2,6945.0,5492.0,20.922,True,True,False,level1,,"[{""level"": ""l2"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level2\\webcode2m\\we00011.html"", ""tokens"": 5492.0, ""base"": ""level1""}, {""level"": ""l1"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\outputs\\level1\\webcode2m\\we00011.html"", ""tokens"": 5858.0, ""base"": ""original""}, {""level"": ""original"", ""html_path"": ""C:\\Users\\Mahin\\Thesis\\render_validated_starter_kit\\starter_kit\\data\\raw_webcode2m\\we00011.html"", ""tokens"": 6945.0, ""base"": """"}]"
