sample_id,page_id,source,mutation,protocol_id,family,intent,variant,extension,status,attempts,target_ids,severity_nominal,severity_achieved,detail,verified_change,verified_label,calib_include,n_diff_pixels,diff_frac,shape_mismatch,diff_bbox,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,accepted,accepted_visual,accepted_full,ssim_canvas
we00000__m1_delete_text_block__default,we00000,webcode2m,m1_delete_text_block,M1,structure,breaking,default,False,ok,1.0,102,,,deleted <a id=102 42x17>,True,1.0,True,183642.0,0.11533,True,"0,932,1279,1213",qwen2.5-vl,True,3395.0,3381.0,0.412,True,1244.0,1214.0,30.0,False,0.99742,True,73.0,72.0,0.7459,1179.5,1.0,False,0.565,7.948,False,0.93139,True,False,False,False,0.92052
we00000__m2_corrupt_text__default,we00000,webcode2m,m2_corrupt_text,M2,text,breaking,default,False,ok,1.0,49,0.3,,corrupted 4/15 chars in <td id=49 211x32>,True,1.0,True,642.0,0.000403,False,"59,384,147,398",qwen2.5-vl,True,3395.0,3396.0,-0.029,False,1244.0,1244.0,0.0,True,0.99743,True,73.0,73.0,1.0,0.0,0.0,True,0.0,0.305,True,0.99927,True,False,True,False,0.99927
we00000__m3_shift_element__px8,we00000,webcode2m,m3_shift_element,M3,geometry,breaking,px8,False,ok,1.0,109,8.0,,margin-left 0->8px on <a id=109 25x17>,True,1.0,True,2631.0,0.001652,False,"893,932,1238,946",qwen2.5-vl,True,3395.0,3405.0,-0.295,False,1244.0,1244.0,0.0,True,1.0,True,73.0,73.0,0.9839,8.0,0.0,False,0.0,0.027,True,0.997,True,False,False,False,0.997
we00000__m3_shift_element__px16,we00000,webcode2m,m3_shift_element,M3,geometry,breaking,px16,False,ok,1.0,72,16.0,,margin-left 16->32px on <label id=72 273x30>,True,1.0,True,1507.0,0.000946,False,"719,657,1007,677",qwen2.5-vl,True,3395.0,3406.0,-0.324,False,1244.0,1244.0,0.0,True,1.0,True,73.0,73.0,0.9962,16.0,0.0,False,0.0,0.0,True,0.9984,True,False,False,False,0.9984
we00000__m3_shift_element__px32,we00000,webcode2m,m3_shift_element,M3,geometry,breaking,px32,False,ok,1.0,94,32.0,,margin-left 0->32px on <a id=94 141x17>,True,1.0,True,1370.0,0.00086,False,"195,902,376,916",qwen2.5-vl,True,3395.0,3406.0,-0.324,False,1244.0,1244.0,0.0,True,1.0,True,73.0,73.0,0.9926,32.0,0.0,False,0.0,2.104,True,0.99821,True,False,False,False,0.99821
we00000__m4_recolor_element__de2,we00000,webcode2m,m4_recolor_element,M4,color,breaking,de2,False,ok,1.0,70,2.0,2.071,"bg rgb(255, 255, 255) -> rgb(255,255,251) dE00=2.071 on <input id=70 177x21>",True,1.0,True,3717.0,0.002334,False,"349,657,525,677",qwen2.5-vl,True,3395.0,3417.0,-0.648,False,1244.0,1244.0,0.0,True,1.0,True,73.0,73.0,1.0,0.0,0.0,True,0.0,3.977,True,0.99895,True,False,True,False,0.99895
we00000__m4_recolor_element__de5,we00000,webcode2m,m4_recolor_element,M4,color,breaking,de5,False,ok,1.0,73,5.0,5.258,"bg rgb(255, 255, 255) -> rgb(255,255,244) dE00=5.258 on <input id=73 177x21>",True,1.0,True,3717.0,0.002334,False,"719,657,895,677",qwen2.5-vl,True,3395.0,3417.0,-0.648,False,1244.0,1244.0,0.0,True,1.0,True,73.0,73.0,1.0,0.0,0.0,True,0.0,5.645,False,0.99891,True,False,False,False,0.99891
we00000__m4_recolor_element__de10,we00000,webcode2m,m4_recolor_element,M4,color,breaking,de10,False,ok,1.0,70,10.0,9.968,"bg rgb(255, 255, 255) -> rgb(255,254,230) dE00=9.968 on <input id=70 177x21>",True,1.0,True,3717.0,0.002334,False,"349,657,525,677",qwen2.5-vl,True,3395.0,3417.0,-0.648,False,1244.0,1244.0,0.0,True,1.0,True,73.0,73.0,1.0,0.0,0.0,True,0.0,9.177,False,0.99893,True,False,False,False,0.99893
we00000__m5_fontsize_bump__minus2,we00000,webcode2m,m5_fontsize_bump,M5,typography,breaking,minus2,False,ok,1.0,44,-2.0,,font-size 16->14px on <a id=44 205x17>,True,1.0,True,3671.0,0.002305,False,"11,282,273,395",qwen2.5-vl,True,3395.0,3406.0,-0.324,False,1244.0,1244.0,0.0,True,1.0,True,73.0,73.0,0.9533,25.64,0.0,False,0.509,0.879,True,0.99522,True,False,False,False,0.99522
we00000__m5_fontsize_bump__plus2,we00000,webcode2m,m5_fontsize_bump,M5,typography,breaking,plus2,False,ok,1.0,60,2.0,,font-size 16->18px on <strong id=60 96x17>,True,1.0,True,52488.0,0.032937,True,"0,480,1279,1220",qwen2.5-vl,True,3395.0,3406.0,-0.324,False,1244.0,1245.0,1.0,True,1.0,True,73.0,73.0,0.9367,6.06,0.0,False,0.0,0.897,True,0.93404,True,False,False,False,0.93333
