page_id,chars_total,tokens_total,chars_text,tokens_text,chars_css,tokens_css,chars_class_attrs,tokens_class_attrs,chars_style_attrs,tokens_style_attrs,chars_other_attrs,tokens_other_attrs,chars_tags,tokens_tags,chars_comments,tokens_comments,chars_scripts,tokens_scripts,chars_whitespace,tokens_whitespace,n_elements,n_wrapper_candidates,depth_mean,depth_max
we00000,6696,2371,1063,379,3010,1134,990,219,0,0,127,31,1394,554,0,0,0,0,112,5,133,26,9.46,19
we00001,17869,5544,405,122,11292,3604,3990,1000,21,5,735,271,1362,506,0,0,0,0,64,2,118,38,12.09,19
we00002,8331,2609,1252,429,1646,520,2432,604,129,34,955,330,1642,626,0,0,0,0,275,12,149,19,9.62,13
we00003,8492,2641,1313,427,1048,290,2601,571,176,67,1353,620,1732,622,0,0,0,0,269,13,158,28,8.72,13
we00004,13422,3802,2038,637,875,293,4925,1120,640,184,835,262,3715,1284,0,0,0,0,394,10,237,76,9.29,17
we00005,10653,3501,1974,629,4733,1692,1324,285,153,57,569,181,1514,574,0,0,0,0,386,38,145,28,10.71,17
we00006,23251,6634,3910,1188,12882,3803,2957,648,0,0,450,192,2103,790,0,0,0,0,949,11,183,40,6.94,11
we00007,15687,5269,1969,698,7830,2791,1733,467,42,13,1369,402,2323,822,0,0,0,0,421,21,208,40,7.78,11
we00008,9155,2999,1861,607,1342,455,1117,264,296,82,1429,418,2585,1108,0,0,0,0,525,25,280,31,8.25,15
we00009,16815,5385,1859,623,8026,2659,3444,842,60,14,1464,589,1683,651,0,0,0,0,279,6,152,19,10.44,14
we00010,17093,5063,2518,659,7435,2410,3918,914,0,0,1252,469,1518,625,0,0,0,0,452,14,141,29,9.69,13
we00011,23713,6945,4885,1370,12480,3841,4262,1067,0,0,634,262,1025,379,0,0,0,0,427,26,87,37,11.9,17
we00012,18766,5271,2823,835,6103,1768,2252,475,1533,457,1139,410,4221,1420,0,0,0,0,695,7,233,21,6.71,14
we00013,7759,2593,3105,983,1199,539,536,183,116,28,511,182,1628,682,0,0,0,0,664,71,187,2,12.06,19
we00014,28608,8924,1408,404,16771,5245,6336,1581,958,615,800,246,2093,800,0,0,0,0,242,8,192,52,12.71,19
we00015,24974,7629,1253,404,15925,5079,5134,1283,61,20,951,335,1443,527,0,0,0,0,207,3,122,57,13.16,20
we00016,20835,5951,4072,1154,9471,3072,4078,1032,21,5,672,230,1729,620,0,0,0,0,792,8,147,67,11.48,20
we00017,3981,1207,1870,594,689,264,42,10,37,10,287,122,687,259,0,0,0,0,369,35,61,1,6.03,11
we00018,12596,4121,4119,1265,3886,1483,721,175,365,107,1128,537,1474,611,0,0,0,0,903,30,169,23,8.57,12
we00019,23218,6600,3910,1106,12882,3803,2955,646,0,0,449,191,2103,790,0,0,0,0,919,11,183,40,6.94,11
we00020,16073,4953,985,251,11722,3796,2054,515,0,0,357,119,805,299,0,0,0,0,150,5,68,26,10.84,16
we00021,16958,5527,1045,280,10642,3679,2320,526,268,84,447,147,1908,714,0,0,0,0,328,23,176,40,7.01,14
we00022,15721,4247,3648,1020,4184,1305,4346,967,398,127,613,246,1792,649,0,0,0,0,740,36,156,39,11.35,17
we00023,12010,3017,3238,957,3866,1071,2761,549,532,171,169,71,799,301,0,0,0,0,645,14,67,22,7.55,13
we00024,7159,2842,3424,1678,1295,427,523,111,201,81,428,115,754,326,0,0,0,0,534,64,84,11,5.98,8
we00025,19938,6591,2927,847,8738,3043,3116,755,1001,287,1335,903,2367,863,0,0,0,0,454,9,205,34,9.4,14
we00026,10558,2870,4187,1246,1309,340,1699,396,264,95,713,296,1620,569,0,0,0,0,766,20,139,22,9.86,14
we00027,13151,4501,1582,530,892,235,5235,1233,875,302,1168,796,2840,1146,0,0,0,0,559,98,287,53,13.79,23
we00028,6411,2142,431,129,3013,1078,888,228,776,290,454,120,799,296,0,0,0,0,50,4,67,16,6.82,11
we00029,14050,3422,4500,1070,1585,414,3999,876,199,65,818,284,2168,792,0,0,0,0,781,20,185,39,9.72,14
we00030,12238,4391,4580,1337,902,285,1033,245,21,9,275,89,4815,2207,0,0,0,0,612,28,547,28,9.93,11
we00031,23745,7592,2724,786,12475,3874,4021,1003,309,156,2328,1347,1338,491,0,0,0,0,550,6,115,33,10.68,17
we00032,7933,2560,1531,461,2084,781,1055,313,303,109,412,140,2160,668,0,0,0,0,388,87,177,11,10.45,17
we00033,15482,4997,2560,791,3635,1255,1457,379,34,15,2997,960,4201,1502,0,0,0,0,598,94,420,16,10.87,16
we00034,9476,2835,3839,1112,1893,744,885,243,498,176,202,63,1372,514,0,0,0,0,787,24,135,26,7.39,14
we00035,6256,2717,2527,870,961,335,1618,1294,28,14,267,83,487,202,0,0,0,0,368,12,49,3,4.31,5
we00036,8675,2505,2637,600,854,328,2721,627,138,62,241,71,1825,763,0,0,0,0,259,15,185,32,8.7,14
we00037,9901,3187,1677,501,4667,1632,818,209,214,55,319,113,1920,697,0,0,0,0,286,4,180,36,6.49,9
we00038,7858,2528,1360,359,2069,775,1208,369,321,114,319,109,2239,696,0,0,0,0,342,95,184,11,10.61,17
we00039,9922,3022,8011,2480,1008,352,19,5,0,0,114,38,313,125,0,0,0,0,457,6,26,3,5.46,7
we00040,10736,3075,3348,900,1160,349,1798,402,222,89,1088,420,2404,926,0,0,0,0,716,63,171,40,8.88,14
we00041,12227,3819,1929,548,5894,1961,1730,468,81,30,628,240,1459,551,0,0,0,0,506,23,135,33,8.04,15
we00042,13244,3565,2147,552,1648,514,5910,1390,101,28,1009,371,2098,725,0,0,0,0,331,25,177,65,13.09,21
we00043,5243,1527,1777,521,925,354,414,94,471,141,455,168,838,308,0,0,0,0,363,7,74,17,8.39,12
we00044,18093,5874,2560,791,7306,2529,2745,671,780,186,2084,879,2035,792,0,0,0,0,583,9,175,35,9.13,16
we00045,7472,2542,789,203,3978,1423,572,151,145,46,742,314,1047,378,0,0,0,0,199,24,96,21,6.57,11
we00046,13936,4561,1283,416,3908,1402,1590,356,699,212,3204,1129,2979,1092,0,0,0,0,273,28,270,26,11.95,21
we00047,19663,6557,2651,780,8738,3043,3116,755,1001,287,1335,903,2383,871,0,0,0,0,439,5,207,34,9.43,14
we00048,10550,3090,5204,1479,1032,327,89,24,0,0,154,58,2467,1011,0,0,0,0,1604,89,250,3,8.11,12
we00049,11607,2989,1847,563,1406,357,5733,1292,161,49,554,174,1564,584,0,0,0,0,342,8,135,44,10.37,17
we00050,12410,4327,2766,1166,5040,1672,1339,291,325,111,120,35,2393,938,0,0,0,0,427,5,232,27,9.14,13
we00051,12887,3336,5194,1503,2133,706,2313,512,89,36,885,291,1204,495,0,0,0,0,1069,18,108,16,9.06,13
we00052,7348,1956,3294,870,1222,387,548,142,162,61,270,123,1091,417,0,0,0,0,761,52,111,15,9.68,14
we00053,12399,3488,4126,1155,1393,420,2027,447,1042,354,981,396,2155,831,0,0,0,0,675,33,200,34,8.15,13
we00054,18609,5530,2440,761,7442,2452,4111,862,88,24,1809,634,2268,829,0,0,0,0,451,8,191,47,9.72,17
we00055,12191,4375,1981,630,6632,2595,391,94,0,0,1038,415,1793,665,0,0,0,0,356,12,151,13,7.9,11
we00056,5106,1704,351,82,3227,1149,434,94,138,27,222,97,634,243,0,0,0,0,100,6,57,14,6.04,9
we00057,15713,4324,802,283,6538,1868,5346,1093,714,274,860,341,1314,470,0,0,0,0,139,3,109,30,8.4,15
we00058,7392,2298,2421,726,961,326,1125,255,696,252,187,61,1580,636,0,0,0,0,422,20,149,39,6.22,9
we00059,9759,2612,3693,1096,936,296,1332,293,1149,301,158,47,1682,617,0,0,0,0,809,36,150,19,7.86,15
we00060,11475,3353,2634,733,2171,769,487,110,389,136,2484,786,2054,776,0,0,0,0,1256,63,185,33,9.15,14
we00061,8578,2695,3066,956,1893,744,885,243,496,176,202,63,1372,514,0,0,0,0,664,24,135,26,7.39,14
we00062,5571,1834,851,249,1838,701,619,151,278,103,377,127,1433,509,0,0,0,0,175,18,138,12,9.75,17
we00063,23041,7104,3014,1081,12272,3892,5277,1349,209,90,309,105,1425,574,0,0,0,0,535,15,134,36,12.88,19
